계약날짜,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문,동작구,마포구,서대문,서초구,성동구,성북구,송파구,양천구,영등포,용산구,은평구,종로구,중구 ,중랑구,합계
20060302,44.0,25.0,5.0,23.0,13.0,10.0,16.0,4.0,40.0,12.0,18.0,14.0,22.0,7.0,30.0,13.0,18.0,24.0,29.0,15.0,11.0,8.0,0.0,1.0,4.0,406.0
20060303,30.0,20.0,1.0,24.0,6.0,1.0,24.0,1.0,32.0,16.0,9.0,9.0,5.0,3.0,17.0,10.0,8.0,30.0,25.0,20.0,10.0,3.0,4.0,1.0,7.0,316.0
20060304,31.0,35.0,9.0,30.0,7.0,14.0,22.0,9.0,61.0,13.0,11.0,15.0,10.0,8.0,18.0,12.0,14.0,51.0,49.0,28.0,12.0,6.0,2.0,4.0,6.0,477.0
20060305,9.0,5.0,2.0,6.0,11.0,2.0,9.0,3.0,9.0,6.0,11.0,12.0,5.0,6.0,20.0,3.0,6.0,8.0,10.0,14.0,5.0,3.0,1.0,0.0,12.0,178.0
20060306,47.0,31.0,5.0,23.0,8.0,13.0,28.0,7.0,33.0,15.0,13.0,15.0,17.0,4.0,29.0,14.0,9.0,39.0,26.0,21.0,16.0,6.0,3.0,6.0,11.0,439.0
20060307,43.0,29.0,7.0,22.0,9.0,9.0,15.0,6.0,36.0,21.0,15.0,11.0,16.0,6.0,23.0,6.0,11.0,37.0,29.0,24.0,6.0,9.0,2.0,3.0,5.0,400.0
20060308,31.0,17.0,5.0,26.0,11.0,8.0,15.0,4.0,41.0,8.0,7.0,10.0,13.0,6.0,26.0,12.0,7.0,41.0,36.0,14.0,18.0,4.0,1.0,7.0,11.0,379.0
20060309,43.0,24.0,5.0,21.0,15.0,9.0,24.0,7.0,42.0,11.0,9.0,11.0,4.0,5.0,35.0,18.0,11.0,27.0,43.0,15.0,8.0,7.0,0.0,2.0,9.0,405.0
20060310,53.0,25.0,8.0,30.0,17.0,8.0,18.0,2.0,32.0,17.0,9.0,17.0,11.0,8.0,27.0,13.0,13.0,47.0,32.0,24.0,6.0,8.0,4.0,5.0,13.0,447.0
20060311,60.0,34.0,9.0,34.0,18.0,10.0,25.0,3.0,33.0,20.0,6.0,14.0,15.0,7.0,31.0,17.0,8.0,51.0,52.0,22.0,11.0,4.0,3.0,5.0,10.0,502.0
20060312,14.0,5.0,3.0,3.0,12.0,4.0,10.0,2.0,8.0,3.0,5.0,5.0,7.0,7.0,23.0,3.0,8.0,13.0,17.0,10.0,4.0,3.0,0.0,2.0,10.0,181.0
20060313,52.0,24.0,9.0,29.0,19.0,12.0,23.0,6.0,40.0,19.0,17.0,13.0,9.0,11.0,33.0,29.0,11.0,38.0,43.0,23.0,10.0,6.0,1.0,2.0,18.0,497.0
20060314,38.0,31.0,7.0,26.0,14.0,12.0,17.0,8.0,43.0,19.0,11.0,11.0,4.0,10.0,29.0,13.0,10.0,37.0,32.0,21.0,15.0,5.0,2.0,3.0,12.0,430.0
20060315,55.0,26.0,4.0,22.0,18.0,7.0,20.0,6.0,40.0,11.0,12.0,17.0,15.0,19.0,29.0,17.0,15.0,38.0,43.0,14.0,13.0,9.0,0.0,3.0,14.0,467.0
20060316,34.0,25.0,4.0,23.0,17.0,8.0,22.0,3.0,31.0,14.0,8.0,13.0,12.0,12.0,23.0,16.0,9.0,47.0,30.0,26.0,3.0,4.0,4.0,4.0,13.0,405.0
20060317,43.0,26.0,4.0,25.0,15.0,6.0,12.0,4.0,34.0,16.0,6.0,10.0,24.0,10.0,23.0,8.0,9.0,37.0,26.0,22.0,8.0,4.0,1.0,0.0,16.0,389.0
20060318,49.0,48.0,6.0,23.0,16.0,15.0,17.0,2.0,61.0,15.0,10.0,15.0,15.0,7.0,39.0,17.0,14.0,42.0,40.0,28.0,12.0,4.0,1.0,5.0,10.0,511.0
20060319,2.0,6.0,3.0,7.0,6.0,2.0,10.0,1.0,10.0,4.0,6.0,6.0,4.0,2.0,7.0,5.0,5.0,9.0,12.0,6.0,4.0,3.0,0.0,1.0,9.0,130.0
20060320,46.0,49.0,6.0,29.0,15.0,12.0,28.0,5.0,49.0,17.0,17.0,12.0,18.0,15.0,35.0,15.0,13.0,55.0,45.0,38.0,10.0,6.0,4.0,5.0,9.0,553.0
20060321,63.0,37.0,5.0,29.0,12.0,11.0,29.0,7.0,36.0,18.0,9.0,14.0,7.0,8.0,23.0,9.0,12.0,49.0,44.0,24.0,14.0,5.0,3.0,3.0,11.0,482.0
20060322,34.0,20.0,9.0,30.0,17.0,14.0,15.0,3.0,40.0,21.0,8.0,13.0,19.0,12.0,31.0,20.0,8.0,21.0,49.0,25.0,7.0,9.0,1.0,3.0,13.0,442.0
20060323,26.0,24.0,2.0,28.0,11.0,8.0,23.0,9.0,28.0,16.0,8.0,12.0,8.0,9.0,23.0,12.0,15.0,28.0,37.0,17.0,5.0,4.0,3.0,1.0,9.0,366.0
20060324,28.0,16.0,9.0,32.0,15.0,3.0,21.0,9.0,34.0,17.0,5.0,10.0,8.0,5.0,20.0,18.0,12.0,21.0,32.0,14.0,10.0,6.0,2.0,2.0,14.0,363.0
20060325,22.0,20.0,4.0,31.0,13.0,12.0,29.0,7.0,47.0,22.0,9.0,12.0,10.0,8.0,17.0,13.0,10.0,37.0,31.0,30.0,16.0,4.0,3.0,4.0,11.0,422.0
20060326,3.0,1.0,2.0,2.0,9.0,2.0,8.0,2.0,4.0,4.0,4.0,8.0,6.0,2.0,8.0,6.0,5.0,9.0,12.0,6.0,3.0,0.0,0.0,1.0,10.0,117.0
20060327,25.0,19.0,4.0,38.0,13.0,14.0,24.0,8.0,44.0,12.0,10.0,10.0,10.0,8.0,23.0,15.0,17.0,36.0,30.0,26.0,18.0,5.0,4.0,3.0,18.0,434.0
20060328,40.0,16.0,2.0,31.0,3.0,7.0,24.0,11.0,40.0,12.0,8.0,17.0,17.0,4.0,26.0,11.0,12.0,23.0,31.0,22.0,11.0,9.0,1.0,3.0,18.0,399.0
20060329,32.0,12.0,6.0,27.0,12.0,10.0,23.0,6.0,44.0,10.0,6.0,15.0,12.0,11.0,25.0,18.0,17.0,19.0,30.0,16.0,12.0,8.0,0.0,5.0,8.0,384.0
20060330,44.0,14.0,7.0,29.0,13.0,7.0,19.0,5.0,42.0,18.0,11.0,10.0,10.0,12.0,22.0,12.0,10.0,22.0,34.0,15.0,14.0,4.0,1.0,5.0,9.0,389.0
20060331,36.0,18.0,6.0,26.0,13.0,7.0,14.0,7.0,26.0,12.0,8.0,19.0,16.0,9.0,17.0,16.0,4.0,17.0,26.0,13.0,12.0,6.0,4.0,3.0,8.0,343.0
20060401,24.0,17.0,8.0,39.0,15.0,10.0,20.0,8.0,48.0,15.0,16.0,21.0,12.0,8.0,15.0,16.0,10.0,28.0,24.0,19.0,13.0,4.0,1.0,2.0,16.0,409.0
20060402,10.0,4.0,4.0,9.0,7.0,0.0,7.0,3.0,8.0,1.0,8.0,9.0,3.0,8.0,6.0,2.0,4.0,9.0,5.0,8.0,3.0,1.0,0.0,0.0,3.0,122.0
20060403,45.0,13.0,3.0,32.0,13.0,12.0,16.0,8.0,33.0,22.0,14.0,15.0,8.0,12.0,21.0,17.0,14.0,34.0,35.0,18.0,9.0,7.0,3.0,1.0,9.0,414.0
