사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020071600100571,2020년 7월 16일 20시,목요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,여,55세,중상
2020072100100542,2020년 7월 21일 20시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,승용,남,58세,경상
2020081200100340,2020년 8월 12일 15시,수요일,경기도 수원시 권선구 권선동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,개인형이동수단(PM),남,23세,부상신고
2020082000100625,2020년 8월 20일 23시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,이륜,남,50세,경상,승용,남,62세,상해없음
2020082100100289,2020년 8월 21일 14시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,31세,상해없음,승용,남,43세,경상
2020082400100023,2020년 8월 24일 02시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,39세,상해없음,승용,남,26세,경상
2020092300100602,2020년 9월 23일 21시,수요일,경기도 수원시 권선구 권선동,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,27세,부상신고,,,,
2020092800100485,2020년 9월 28일 16시,월요일,경기도 수원시 권선구 권선동,중상사고,0,1,1,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,73세,기타불명,이륜,남,56세,경상
2020093000100146,2020년 9월 30일 10시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,32세,상해없음,승용,남,61세,경상
2020100300100236,2020년 10월 3일 15시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승용,남,20세,상해없음,승용,남,40세,경상
2020110500100400,2020년 11월 5일 17시,목요일,경기도 수원시 권선구 권선동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,18세,상해없음,승용,남,29세,경상
2020110800100475,2020년 11월 8일 19시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,이륜,남,33세,경상
2020112300100564,2020년 11월 23일 20시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,5,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,50세,경상,승용,남,26세,경상
2020112600100026,2020년 11월 26일 03시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,72세,상해없음,승용,남,38세,경상
2020112600100313,2020년 11월 26일 15시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승용,여,55세,상해없음,승용,남,28세,경상
2020120400100612,2020년 12월 4일 21시,금요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,51세,상해없음,화물,남,57세,경상
2020121200100064,2020년 12월 12일 08시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,42세,상해없음,승용,남,29세,경상
2020121600100390,2020년 12월 16일 18시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,차로위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,승용,남,32세,경상
2020122700100249,2020년 12월 27일 20시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,31세,상해없음,승용,남,46세,경상
2020122700100309,2020년 12월 27일 23시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,승용,남,68세,경상
