,0
195,"37.574945793303726, 126.91792732781025"
196,"37.53853133000134, 126.90030950755775"
197,"37.52478023471497, 126.8544358637573"
198,"37.50946531090917, 126.88293224105237"
199,"37.48976092966964, 127.00464903871463"
200,"37.53546388151376, 127.06762554329553"
201,"37.49692857844258, 127.01279503651702"
202,"37.51961112618909, 126.92645361651046"
203,"37.58662444262812, 127.07965196070764"
204,"37.58850839268655, 127.00591452468667"
205,"37.66295074928139, 127.03724956669294"
206,"37.51067052777761, 126.83925655229432"
207,"37.5775883716744, 126.92140732302549"
208,"37.461291915594714, 126.92214945025293"
209,"37.48578093780858, 127.04170879957651"
210,"37.514085730680016, 126.91886671596353"
211,"37.610068538458755, 127.06354078056724"
212,"37.584985699692616, 126.88414733840746"
213,"37.471645103948376, 127.10731810482913"
214,"37.64660574498323, 126.92897494428662"
215,"37.5560835892947, 126.97288404303974"
216,"37.61820787584811, 127.07373428348474"
217,"37.478329584531075, 126.93297715215166"
218,"37.546090300926934, 126.90980036101267"
219,"37.643811267336226, 127.04360793637832"
220,"37.50003972353826, 127.11883335388688"
221,"37.52097222906493, 127.09694602772983"
222,"37.563027508454375, 126.90360795210793"
223,"37.607473032478104, 126.92170785521441"
224,"37.58505220659341, 126.97037979703335"
225,"37.475127031435896, 127.0524865038627"
226,"37.47707759398164, 126.93746765382144"
227,"37.57027395352165, 126.98611436480583"
228,"37.499815701485026, 126.87428967233457"
229,"37.52800253031846, 126.87420283802737"
230,"37.59753539952773, 126.93848530348617"
231,"37.52266369440975, 126.96187638944102"
232,"37.567352884954715, 127.05376990483562"
233,"37.6234672729664, 126.91975146593299"
234,"37.50506305820068, 126.95363341977178"
235,"37.65069176959666, 127.08126072287398"
236,"37.524119299918304, 126.97202291450297"
237,"37.50127369918762, 126.89914284039362"
238,"37.50322428500024, 126.94795250643966"
239,"37.571863269438644, 127.04835977285121"
240,"37.507080430768895, 127.10554463457586"
241,"37.50409931395571, 126.93770051448001"
242,"37.474183546403616, 127.03137811572356"
243,"37.48365425004261, 126.90845134263864"
244,"37.54902083140642, 126.87294542407795"
245,"37.527844457584884, 126.8640626410109"
246,"37.55637423726249, 127.15304284447718"
247,"37.61547305821028, 127.0151107806796"
248,"37.535889724783445, 127.13245082382228"
249,"37.508818175581546, 127.12584103010016"
250,"37.59928311148106, 127.09838304965383"
251,"37.534467762751866, 126.99206684502828"
252,"37.58202662819432, 126.81965425825987"
253,"37.58527640773628, 126.9481591954622"
254,"37.5777498223344, 127.0303911257838"
255,"37.534544726579014, 126.99570795992751"
256,"37.65580306918449, 127.06055755067462"
257,"37.4574848150604, 126.89975630081281"
258,"37.53012565520408, 126.96757323116425"
259,"37.542877891889624, 127.09423720741752"
260,"37.60824765131207, 127.02093653353423"
261,"37.544037409379996, 126.98939081244129"
262,"37.535213530090125, 126.8879414698529"
263,"37.63179171800516, 127.013609169289"
264,"37.56007473930779, 126.96501683626913"
265,"37.615799317567536, 127.0931546312718"
266,"37.47218932965624, 126.93315458898013"
267,"37.650276932615256, 127.07102193330357"
268,"37.55366352599004, 126.97431560751296"
269,"37.56984923396655, 127.00182703328205"
270,"37.48611537767784, 126.89934031931645"
271,"37.579655990780196, 126.88761495062695"
272,"37.484520457448596, 127.0581998776879"
273,"37.5066506806743, 127.03128278912855"
274,"37.614652992254776, 126.9098794506323"
275,"37.513440665330165, 127.09993597049252"
276,"37.532045915433294, 127.07970855217869"
277,"37.48983986352125, 127.12843858409855"
278,"37.498396974122116, 127.02362394612248"
279,"37.56197099471746, 126.92748202883283"
280,"37.64026894796035, 127.02665183586849"
281,"37.6713233357825, 127.04265314904137"
282,"37.647164317907276, 127.02553831373525"
283,"37.50036490196076, 126.93172711414779"
284,"37.605265819611354, 127.06734772222563"
285,"37.60694095545994, 127.04921350540968"
286,"37.454864542369215, 126.90147535219877"
287,"37.53437123935902, 126.83807995170358"
288,"37.54096216029624, 127.14305479663345"
289,"37.56623562666164, 127.05546829583558"
290,"37.53705282220426, 126.83723452071835"
291,"37.48704230402972, 127.032990670412"
292,"37.47298898486772, 126.88470344440722"
293,"37.52541976071607, 127.1352192275063"
294,"37.5381122943241, 127.08962623908643"
295,"37.50924531865246, 126.84387466854592"
296,"37.52077822624781, 126.87786507594244"
297,"37.53055180115554, 126.84713554734799"
298,"37.623643282449706, 127.0685488121657"
299,"37.55061808982948, 127.03919096119066"
300,"37.52045344880658, 126.97259694418692"
301,"37.60064168815283, 127.01402310407413"
302,"37.512117731531184, 127.07816285598746"
303,"37.55020790330296, 126.87298031209134"
304,"37.5680343181336, 127.0236020347925"
305,"37.554275960017826, 127.09425603478302"
306,"37.61019103743028, 127.09625372865654"
307,"37.61165294428865, 126.99083985542784"
308,"37.55621734840079, 126.9731117131373"
309,"37.55702927835765, 127.07921159885286"
310,"37.49060694197296, 126.90762242565499"
311,"37.63234115970348, 127.05248469990741"
312,"37.54705148395764, 126.87525383075956"
313,"37.534256051386635, 127.07181446670305"
314,"37.612547086648576, 127.10254260331482"
315,"37.57171688698921, 126.90999152560866"
316,"37.580234806656904, 126.9851323109921"
317,"37.66432633861116, 127.06703082176202"
318,"37.467785342502786, 127.0934914978483"
319,"37.45191328104631, 127.05398558933507"
320,"37.61676624833372, 127.00849011622533"
321,"37.57309393541664, 127.08430570050497"
322,"37.53979217319461, 127.15650420837804"
323,"37.583860750463856, 126.89746692781833"
324,"37.571634553053784, 126.92219929883855"
325,"37.44743332438771, 127.05686205133267"
326,"37.56609179526988, 127.17747554591533"
327,"37.578626076266495, 126.81298961770246"
328,"37.625815593622995, 127.08610120629032"
329,"37.53323985751775, 126.87555861035057"
330,"37.55580892850581, 127.16567977629822"
331,"37.55489690660284, 126.8548819105159"
332,"37.541407405885806, 127.06655042360468"
333,"37.579204489339084, 126.9849379501619"
334,"37.53805132943847, 126.96664396872406"
335,"37.627805143753775, 127.08498828402237"
336,"37.53335571770392, 126.84590818484676"
337,"37.54811447697434, 127.02568494026285"
338,"37.55184607300805, 126.91269755472166"
339,"37.68723496370673, 127.04577730840954"
340,"37.57345180385373, 127.00228718108903"
341,"37.583079273905724, 127.06852320217126"
342,"37.50877709085669, 127.02229758937666"
343,"37.46939526260178, 127.12689912243658"
344,"37.557545282855145, 126.95588983017062"
345,"37.48292283339784, 126.9818112021113"
346,"37.54771868989878, 126.86076133611824"
347,"37.65184006387464, 127.04130980607349"
348,"37.59657059196409, 127.06019911943946"
349,"37.57908862063997, 127.07242508241342"
350,"37.623344225500084, 126.91705524082825"
351,"37.480860944422304, 126.85506646536426"
352,"37.67022547810431, 127.08127871211332"
353,"37.48350553792854, 127.04750984448073"
354,"37.62775855227266, 127.04997723030131"
355,"37.57014505302257, 127.00973941683945"
356,"37.53748361444144, 126.88559617839014"
357,"37.51365782451067, 127.02013895829927"
358,"37.527487298003, 127.03346521873249"
359,"37.46708051534517, 126.94776020929565"
360,"37.65302781592591, 127.06765167770781"
361,"37.58152606258319, 127.0384923591256"
362,"37.50961876744314, 127.01661216922734"
363,"37.57449434290504, 126.95780218913171"
364,"37.63923210188132, 127.06843007012458"
365,"37.66177179610826, 127.0235335726214"
366,"37.52775946930833, 127.04405130764299"
367,"37.55943283808345, 127.0505470964017"
368,"37.45818625312538, 126.90535328103581"
369,"37.61930238846701, 127.02138555232244"
370,"37.63470235185167, 126.9188987995671"
371,"37.51870088188814, 126.91253981956305"
372,"37.51848620676252, 127.07190416939444"
373,"37.462905448512245, 127.02272909503918"
374,"37.48436693779175, 127.03368624735177"
375,"37.51984095456234, 126.98693384402753"
376,"37.61661485431181, 127.02979674540146"
377,"37.5912225324858, 127.0415783429419"
378,"37.544165106587165, 126.97054221507297"
379,"37.590102685306825, 127.06221793496452"
380,"37.59033610857144, 127.09731939881793"
381,"37.53962160196998, 127.14066699103455"
382,"37.5070836780189, 126.94808837494202"
383,"37.63706360579068, 127.01731025642027"
384,"37.49975426552011, 126.87452281673073"
385,"37.59190128916032, 126.94486555233193"
386,"37.47937695971779, 127.11734553523338"
387,"37.56020386097663, 127.04112586318942"
388,"37.535496781774675, 127.12261408201036"
389,"37.547991634605964, 126.9229088323331"
390,"37.545512041674726, 127.01550793278179"
391,"37.487495825795094, 126.99346910304571"
392,"37.474517387153895, 127.06014274351828"
393,"37.51088775588664, 126.99822793545354"
394,"37.64631399458453, 127.02499904177026"
395,"37.485874493654414, 126.89621583883434"
396,"37.45877047454281, 127.0556391740764"
397,"37.55778400873842, 126.84428159780913"
398,"37.46961529810282, 127.0387192566692"
399,"37.558895261877254, 126.97439465820102"
400,"37.54657434260457, 127.07615194734196"
401,"37.62350108250653, 127.02532098486851"
402,"37.524822769116014, 126.87143180590678"
403,"37.475296867378205, 126.98740043717008"
404,"37.51936176756299, 127.10971129010532"
405,"37.49572321099732, 127.03947503760853"
406,"37.47464620485882, 127.00108617645112"
407,"37.53255937855446, 126.83677112258448"
408,"37.63722991143794, 127.0173653710803"
409,"37.48629418576725, 126.93484979043726"
410,"37.575974128564496, 126.81830660295292"
411,"37.50021128001932, 126.92023972472322"
412,"37.55276304733105, 126.93369490680756"
413,"37.65261670678905, 127.05325524217677"
414,"37.57716923810438, 126.8894073213492"
415,"37.58446391535201, 127.09397714438968"
416,"37.57266694788366, 126.80327401675962"
417,"37.4844496771499, 126.93695668459574"
